dataset,sample_id,routine_name,latency_group,ble_count,local_count,cloud_count,total_device_count,ha_action_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,validation_dir
smart-home,86,Turn on Philips Hue lights when you arrive home,Group1,0,9,0,9,1,2.88,1.045,1.835,63.72,1,,4,4,0.0298,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_86
smart-home,103,Turn on Hue lights when it starts raining,Group2,0,3,3,6,3,3.75,2.2196,1.5304,40.81,1,,4,4,0.2308,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_103
smart-home,113,Turn off SmartThings lights with Button widget,Group1,0,0,2,2,1,2.39,1.2273,1.1627,48.65,1,,2,2,0.0232,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_113
smart-home,114,Enable Home Connect Super Cooling before grocery trip,Group1,0,0,2,2,1,1.99,1.0219,0.9681,48.65,1,,2,2,0.016,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_114
smart-home,116,Turn on Hue lights when Netatmo temperature rises above threshold,Group2,0,4,4,8,3,5.69,1.5066,4.1834,73.52,1,,4,4,0.028,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_116
smart-home,121,Notify when ecobee outdoor temperature exceeds threshold,Group1,0,0,2,2,1,1.85,0.95,0.9,48.65,1,,2,2,0.0757,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_121
smart-home,122,Turn on Hue and Kasa lights when you arrive home,Group1,0,6,0,6,1,2.1,0.7909,1.3091,62.34,1,,3,4,0.022,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_122
smart-home,128,Arm Blink with a Flic button press,Group1,0,0,1,1,1,1.33,1.33,0.0,0.0,1,,2,1,0.0157,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_128
smart-home,143,Disarm Blink when the first person arrives home,Group1,0,0,2,2,1,2.34,1.2016,1.1384,48.65,1,,2,2,0.0223,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_143
smart-home,153,Notify when Netatmo temperature rises above threshold,Group1,0,0,1,1,1,1.26,1.26,0.0,0.0,1,,2,1,0.015,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_153
smart-home,154,Turn off Hue and Kasa lights when you leave home,Group1,0,6,0,6,1,2.07,0.7796,1.2904,62.34,1,,3,4,0.0222,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_154
smart-home,189,Turn on Hue and Nanoleaf lights at sunset,Group1,0,6,0,6,1,1.81,0.6817,1.1283,62.34,1,,3,4,0.0286,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_189
smart-home,201,Turn off SmartThings lights and Kasa outlets at bedtime,Group4,0,9,7,16,3,9.1,2.5862,6.5138,71.58,1,,6,4,0.087,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_201
smart-home,202,Color-loop Hue lights when Netatmo CO2 gets high,Group4,0,7,8,15,3,12.05,4.2962,7.7538,64.35,1,,6,4,0.034,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_202
smart-home,203,Turn on SmartThings scene and Hue lights when arriving home,Group4,0,9,6,15,3,9.4,3.0341,6.3659,67.72,1,,6,4,0.0333,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_203
smart-home,204,Color-loop Hue lights when Netatmo CO2 gets high,Group3,0,7,8,15,3,8.79,3.1339,5.6561,64.35,1,,6,4,0.0956,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_204
smart-home,205,Send Roborock home and disarm Blink when a Webhook event fires,Group4,0,0,14,14,1,15.61,4.5041,11.1059,71.15,1,,5,4,0.1006,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_205
smart-home,206,Change Philips Hue light color when Netatmo detects rain,Group4,0,8,6,14,3,9.25,3.0407,6.2093,67.13,1,,6,4,0.0364,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_206
smart-home,207,Turn off SmartThings lights and Kasa outlets at bedtime,Group4,0,6,7,13,3,9.98,4.0644,5.9156,59.27,1,,6,4,0.0377,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_207
smart-home,208,Color-loop Hue lights when Netatmo noise gets loud,Group4,0,6,7,13,3,9.87,4.0196,5.8504,59.27,1,,6,4,0.0395,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_208
smart-home,209,Turn off SmartThings lights and Kasa outlets at bedtime,Group3,0,7,6,13,3,8.61,3.9345,4.6755,54.3,1,,6,4,0.0486,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_209
smart-home,210,Turn off Hue and Nanoleaf lights at bedtime,Group3,0,13,0,13,1,6.52,2.1463,4.3737,67.08,1,,5,4,0.0403,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_210
smart-home,211,Turn on Hue and Nanoleaf lights at sunset,Group2,0,13,0,13,1,4.97,1.6361,3.3339,67.08,1,,5,4,0.0613,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_211
smart-home,212,Blink Philips Hue lights and notify if fridge door left open,Group3,0,7,5,12,3,8.64,3.179,5.461,63.21,1,,5,4,0.0318,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_212
smart-home,213,Turn off SmartThings scene and Hue lights when leaving home,Group2,0,8,4,12,3,5.87,1.5454,4.3246,73.67,1,,5,4,0.0366,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_213
smart-home,214,Turn on Hue and Nanoleaf lights at sunset,Group2,0,12,0,12,1,3.13,0.8613,2.2687,72.48,1,,4,4,0.0405,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_214
smart-home,215,Arm Blink and start Roborock when a Webhook event arrives,Group4,0,0,11,11,1,12.11,3.347,8.763,72.36,1,,4,4,0.0419,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_215
smart-home,218,Turn off lights and Kasa plugs with one tap,Group2,0,11,0,11,1,3.64,1.0893,2.5507,70.07,1,,4,4,0.0427,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_218
smart-home,228,Activate Home Connect fridge sabbath mode every Friday,Group3,0,0,8,8,1,7.77,1.9827,5.7873,74.48,1,,3,4,0.0733,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_228
smart-home,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,Group2,0,8,0,8,1,5.15,1.4787,3.6713,71.29,1,,3,4,0.0249,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_232
smart-home,233,Automatically turn your lights on at sunset,Group2,0,8,0,8,1,4.62,1.3265,3.2935,71.29,1,,3,4,0.0275,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_233
smart-home,234,Toggle Kasa lights with Button widget,Group2,0,8,0,8,1,3.8,1.0911,2.7089,71.29,1,,3,4,0.0332,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_234
smart-home,235,Turn off TP-Link Kasa light at sunrise,Group1,0,8,0,8,1,2.86,0.8212,2.0388,71.29,1,,3,4,0.0315,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_235
smart-home,236,Toggle Kasa lights with Button widget,Group1,0,8,0,8,1,2.67,0.7666,1.9034,71.29,1,,3,4,0.0246,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_236
smart-home,240,Open SwitchBot curtains when your Smart Bed alarm rings,Group4,7,0,0,7,1,12.02,12.02,0.0,0.0,1,,8,1,0.0305,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_240
smart-home,242,Turn on Home Connect Hood light on a special day,Group3,0,0,7,7,1,8.59,2.5026,6.0874,70.87,1,,3,4,0.0213,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_242
smart-home,248,Switch your ecobee to your chosen comfort profile as you arrive home,Group3,0,0,7,7,1,7.49,2.1821,5.3079,70.87,1,,3,4,0.0159,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_248
smart-home,255,Turn on Kasa plug on at sunset,Group2,0,7,0,7,1,3.08,1.0036,2.0764,67.42,1,,3,4,0.0217,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_255
smart-home,284,Get IFTTT notification when freezer temperature is high,Group2,0,0,5,5,1,5.81,2.3623,3.4477,59.34,1,,3,4,0.0243,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_284
smart-home,295,Press Button widget to activate Home Connect Super Cooling,Group2,0,0,5,5,1,4.69,1.9069,2.7831,59.34,1,,3,4,0.0163,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_295
long-chain,210,Turn off Hue and Nanoleaf lights at bedtime [3x long-chain],Group3,0,39,0,39,1,19.56,5.1691,14.3909,73.57,1,,11,4,0.2421,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_210
long-chain,211,Turn on Hue and Nanoleaf lights at sunset [3x long-chain],Group2,0,39,0,39,1,14.91,3.9403,10.9697,73.57,1,,11,4,0.6126,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_211
long-chain,214,Turn on Hue and Nanoleaf lights at sunset [3x long-chain],Group2,0,36,0,36,1,9.39,2.4281,6.9619,74.14,1,,10,4,0.3338,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_214
long-chain,218,Turn off lights and Kasa plugs with one tap [3x long-chain],Group2,0,33,0,33,1,10.92,3.0772,7.8428,71.82,1,,10,4,0.2395,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_218
long-chain,201,Turn off SmartThings lights and Kasa outlets at bedtime [3x long-chain],Group4,0,27,21,48,3,27.3,7.618,19.682,72.1,1,,14,4,0.2344,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_201
long-chain,203,Turn on SmartThings scene and Hue lights when arriving home [3x long-chain],Group4,0,27,18,45,3,28.2,8.9538,19.2462,68.25,1,,14,4,0.1481,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_203
long-chain,202,Color-loop Hue lights when Netatmo CO2 gets high [3x long-chain],Group4,0,21,24,45,3,36.15,10.4265,25.7235,71.16,1,,14,4,0.1328,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_202
long-chain,204,Color-loop Hue lights when Netatmo CO2 gets high [3x long-chain],Group3,0,21,24,45,3,26.37,7.6057,18.7643,71.16,1,,14,4,0.2073,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_204
long-chain,232,Turn off my TP-Link Kasa plug when there's an electricity price spike [3x long-chain],Group2,0,24,0,24,1,15.45,4.0602,11.3898,73.72,1,,7,4,0.1406,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_232
long-chain,233,Automatically turn your lights on at sunset [3x long-chain],Group2,0,24,0,24,1,13.86,3.6424,10.2176,73.72,1,,7,4,0.356,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_233
long-chain,234,Toggle Kasa lights with Button widget [3x long-chain],Group2,0,24,0,24,1,11.4,2.9959,8.4041,73.72,1,,7,4,0.3238,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_234
long-chain,86,Turn on Philips Hue lights when you arrive home [3x long-chain],Group1,0,27,0,27,1,8.64,2.3373,6.3027,72.95,1,,8,4,0.1276,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_86
long-chain,235,Turn off TP-Link Kasa light at sunrise [3x long-chain],Group1,0,24,0,24,1,8.58,2.2548,6.3252,73.72,1,,7,4,0.0758,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_235
long-chain,236,Toggle Kasa lights with Button widget [3x long-chain],Group1,0,24,0,24,1,8.01,2.105,5.905,73.72,1,,7,4,0.0804,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_236
long-chain,205,Send Roborock home and disarm Blink when a Webhook event fires [3x long-chain],Group4,0,0,42,42,1,46.83,12.3107,34.5193,73.71,1,,12,4,0.1071,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_205
long-chain,215,Arm Blink and start Roborock when a Webhook event arrives [3x long-chain],Group4,0,0,33,33,1,36.33,9.9526,26.3774,72.61,1,,10,4,0.0631,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_215
long-chain,206,Change Philips Hue light color when Netatmo detects rain [3x long-chain],Group4,0,24,18,42,3,27.75,7.6771,20.0729,72.33,1,,13,4,0.096,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_206
long-chain,122,Turn on Hue and Kasa lights when you arrive home [3x long-chain],Group1,0,18,0,18,1,6.3,1.8529,4.4471,70.59,1,,6,4,0.0272,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_122
long-chain,154,Turn off Hue and Kasa lights when you leave home [3x long-chain],Group1,0,18,0,18,1,6.21,1.8265,4.3835,70.59,1,,6,4,0.029,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_154
long-chain,189,Turn on Hue and Nanoleaf lights at sunset [3x long-chain],Group1,0,18,0,18,1,5.43,1.5971,3.8329,70.59,1,,6,4,0.0266,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_189
long-chain,209,Turn off SmartThings lights and Kasa outlets at bedtime [3x long-chain],Group3,0,21,18,39,3,25.83,7.118,18.712,72.44,1,,12,4,0.0688,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_209
long-chain,207,Turn off SmartThings lights and Kasa outlets at bedtime [3x long-chain],Group4,0,18,21,39,3,29.94,8.4414,21.4986,71.81,1,,12,4,0.0672,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_207
long-chain,208,Color-loop Hue lights when Netatmo noise gets loud [3x long-chain],Group4,0,18,21,39,3,29.61,8.3483,21.2617,71.81,1,,12,4,0.0674,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_208
long-chain,212,Blink Philips Hue lights and notify if fridge door left open [3x long-chain],Group3,0,21,15,36,3,25.92,6.8928,19.0272,73.41,1,,11,4,0.0569,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_212
long-chain,213,Turn off SmartThings scene and Hue lights when leaving home [3x long-chain],Group2,0,24,12,36,3,17.61,4.4821,13.1279,74.55,1,,11,4,0.0624,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_213
long-chain,255,Turn on Kasa plug on at sunset [3x long-chain],Group2,0,21,0,21,1,9.24,2.7684,6.4716,70.04,1,,7,4,0.0259,data/baselines/naive_topo_parallel/dataset_groups_latest/long-chain/validation/naive_long-chain_255
